PAINT - PLASTER,WALLS,BRONX,
Noise - Vehicle,Engine Idling,QUEENS,"(40.7238959447101, -73.90708611397822)"
HEATING,HEAT,BROOKLYN,
PAINT - PLASTER,WALLS,BRONX,
Urinating in Public,N/A,QUEENS,"(40.69598972951117, -73.90351155454732)"
PLUMBING,BASIN/SINK,MANHATTAN,
PAINT - PLASTER,WALLS,BRONX,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.69598972951117, -73.90351155454732)"
HEATING,HEAT,BROOKLYN,
PAINT - PLASTER,WALLS,MANHATTAN,
Blocked Driveway,No Access,QUEENS,"(40.71283446114206, -73.76458651865607)"
PLUMBING,WATER-LEAKS,BROOKLYN,
PAINT - PLASTER,WALLS,BRONX,
Illegal Parking,Commercial Overnight Parking,QUEENS,"(40.70899411808515, -73.76708527094165)"
HEATING,HEAT,BRONX,
PAINT - PLASTER,WALLS,BRONX,
Blocked Driveway,No Access,QUEENS,"(40.68954442851213, -73.86017447993979)"
HEATING,HEAT,BRONX,
PAINT - PLASTER,WALLS,BRONX,
Blocked Driveway,No Access,BROOKLYN,"(40.59773732002806, -73.95807438760723)"
HEATING,HEAT,BROOKLYN,
PAINT - PLASTER,WALLS,BROOKLYN,
Noise - Street/Sidewalk,Loud Talking,MANHATTAN,"(40.799371104491954, -73.95241767487329)"
HEATING,HEAT,BRONX,
PAINT - PLASTER,WALLS,BROOKLYN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.80624131824259, -73.95281733094532)"
HEATING,HEAT,BROOKLYN,
PAINT - PLASTER,WALLS,BROOKLYN,
Noise - Street/Sidewalk,Loud Music/Party,MANHATTAN,"(40.805870776081115, -73.95280675704328)"
HEATING,HEAT,BRONX,
PAINT - PLASTER,WALLS,BROOKLYN,
Bike/Roller/Skate Chronic,N/A,MANHATTAN,"(40.79615965943979, -73.93528263338234)"
PLUMBING,WATER-LEAKS,BROOKLYN,
PAINT - PLASTER,WALLS,BROOKLYN,
Noise - Street/Sidewalk,Loud Talking,MANHATTAN,"(40.8050281265307, -73.95276039663393)"
HEATING,HEAT,BRONX,
PAINT - PLASTER,WALLS,BRONX,
Noise - Street/Sidewalk,Loud Talking,MANHATTAN,"(40.79578201730202, -73.96262673865029)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,MANHATTAN,
Noise - House of Worship,Loud Music/Party,MANHATTAN,"(40.78985148963867, -73.97608945527436)"
HEATING,HEAT,BROOKLYN,
GENERAL CONSTRUCTION,WINDOW GUARDS,BRONX,
Blocked Driveway,Partial Access,QUEENS,"(40.74217947376517, -73.86137398816105)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,MANHATTAN,
Noise - Vehicle,Car/Truck Music,MANHATTAN,
HEATING,HEAT,BRONX,
PAINT - PLASTER,CEILING,BRONX,
Noise - Vehicle,Car/Truck Horn,MANHATTAN,"(40.72369176931606, -73.9946100452553)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,MANHATTAN,
Noise - Vehicle,Car/Truck Horn,MANHATTAN,"(40.72369176931606, -73.9946100452553)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.721144587541026, -73.99370113700846)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,QUEENS,
Noise - Vehicle,Car/Truck Horn,MANHATTAN,"(40.72369176931606, -73.9946100452553)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Vehicle,Car/Truck Horn,MANHATTAN,"(40.72369176931606, -73.9946100452553)"
PLUMBING,SHOWER-STALL,BRONX,
NONCONST,VERMIN,BRONX,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.865920293467006, -73.92770906652555)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BRONX,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.865920293467006, -73.92770906652555)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.86437703226751, -73.92653574970558)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BRONX,
Noise - Street/Sidewalk,Loud Music/Party,MANHATTAN,"(40.863851956918054, -73.92523119238143)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BROOKLYN,
Blocked Driveway,Partial Access,QUEENS,"(40.73548752409482, -73.88620271597988)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.68716729285692, -73.97475969401174)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.703660100021125, -73.92805453733497)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.70684243347122, -73.92141815424577)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.76232459518089, -73.9764531002361)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BRONX,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.763652469839855, -73.99252750977236)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.744458650415375, -73.99652106025533)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.75453592496049, -73.96875699304283)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,BRONX,"(40.83416959250517, -73.92778331650425)"
GENERAL CONSTRUCTION,CERAMIC-TILE,BROOKLYN,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,BRONX,"(40.837356893032684, -73.92048700806983)"
ELECTRIC,ELECTRIC-SUPPLY,QUEENS,
NONCONST,VERMIN,BROOKLYN,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.76613760273752, -73.74517460610829)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,MANHATTAN,
Illegal Parking,Blocked Sidewalk,QUEENS,"(40.73840097244301, -73.86454292622321)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,QUEENS,
Noise - Commercial,Loud Music/Party,QUEENS,"(40.75372168208527, -73.83282153934903)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,BRONX,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.694698402407205, -73.94846068342325)"
PLUMBING,BASIN/SINK,MANHATTAN,
NONCONST,VERMIN,QUEENS,
Blocked Driveway,No Access,BROOKLYN,"(40.69842865039925, -73.94870303272009)"
HEATING,HEAT,MANHATTAN,
PAINT - PLASTER,WALLS,BROOKLYN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.730026646746296, -73.99418377976559)"
HEATING,HEAT,BROOKLYN,
PAINT - PLASTER,WALLS,BROOKLYN,
Street Condition,"Rough, Pitted or Cracked Roads",BROOKLYN,"(40.68110150475954, -73.91682992893817)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,QUEENS,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.679154133157326, -73.98342992763081)"
HEATING,HEAT,BROOKLYN,
PAINT - PLASTER,WALLS,BROOKLYN,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.67821199428481, -73.97923001769834)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,QUEENS,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.665565445155, -73.98931239000694)"
HEATING,HEAT,BROOKLYN,
NONCONST,VERMIN,MANHATTAN,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.679154133157326, -73.98342992763081)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,MANHATTAN,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.67953667602396, -74.00632377578462)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,MANHATTAN,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.66277893895336, -73.95377666401603)"
PLUMBING,TOILET,MANHATTAN,
PAINT - PLASTER,WALLS,BRONX,
Blocked Driveway,Partial Access,BROOKLYN,"(40.64009919084869, -73.91209236005417)"
HEATING,HEAT,BRONX,
NONCONST,VERMIN,QUEENS,
Illegal Parking,Blocked Hydrant,BROOKLYN,"(40.61839825465951, -74.03950000605595)"
HEATING,HEAT,BRONX,
PAINT - PLASTER,CEILING,QUEENS,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.63597510716587, -73.97814064814625)"
HEATING,HEAT,MANHATTAN,
PAINT - PLASTER,CEILING,BRONX,
Blocked Driveway,No Access,STATEN ISLAND,"(40.62091898753301, -74.16105712225212)"
HEATING,HEAT,BROOKLYN,
Blocked Driveway,No Access,STATEN ISLAND,"(40.622384642690136, -74.15913344748711)"
HEATING,HEAT,BROOKLYN,
Drinking,Underage - Licensed Est,BRONX,"(40.80130054377458, -73.91065141641153)"
PLUMBING,BASIN/SINK,MANHATTAN,
Illegal Parking,Posted Parking Sign Violation,BROOKLYN,"(40.58126559130402, -73.96581401523923)"
HEATING,HEAT,MANHATTAN,
Blocked Driveway,Partial Access,BROOKLYN,"(40.60823899224178, -73.97814612832798)"
HEATING,HEAT,MANHATTAN,
Noise - House of Worship,Loud Music/Party,BROOKLYN,"(40.613657187320364, -73.97799307947268)"
HEATING,HEAT,MANHATTAN,
Noise - House of Worship,Loud Music/Party,BROOKLYN,"(40.613657187320364, -73.97799307947268)"
HEATING,HEAT,MANHATTAN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.72349367369547, -73.98825325266078)"
HEATING,HEAT,MANHATTAN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.73199094182778, -73.98410956010669)"
HEATING,HEAT,MANHATTAN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.72960350054764, -73.9882377434201)"
PAINT - PLASTER,WALLS,QUEENS,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.721166162067185, -73.98868657458544)"
PLUMBING,BASIN/SINK,BROOKLYN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.72349367369547, -73.98825325266078)"
HEATING,HEAT,MANHATTAN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.72349367369547, -73.98825325266078)"
HEATING,HEAT,BRONX,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.72349367369547, -73.98825325266078)"
HEATING,HEAT,MANHATTAN,
Noise - Commercial,Loud Talking,MANHATTAN,"(40.71575090506526, -73.9903793194833)"
HEATING,HEAT,MANHATTAN,
Noise - Street/Sidewalk,Loud Music/Party,MANHATTAN,"(40.73398153995651, -73.98987513482558)"
HEATING,HEAT,MANHATTAN,
Noise - Commercial,Loud Music/Party,MANHATTAN,"(40.72125331438082, -73.98313085248822)"
HEATING,HEAT,MANHATTAN,
Damaged Tree,Branch or Limb Has Fallen Down,QUEENS,"(40.700310313441314, -73.8378386443358)"
HEATING,HEAT,MANHATTAN,
Rodent,Rat Sighting,MANHATTAN,"(40.80374482371607, -73.9558604664225)"
HEATING,HEAT,MANHATTAN,
Noise - Commercial,Loud Music/Party,BROOKLYN,"(40.677876419270724, -73.95688835162093)"
HEATING,HEAT,BRONX,
GENERAL CONSTRUCTION,MOLD,QUEENS,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
PAINT - PLASTER,WALLS,BROOKLYN,
HEATING,HEAT,BROOKLYN,
ELECTRIC,BELL-BUZZER/INTERCOM,BROOKLYN,
GENERAL CONSTRUCTION,DOORS,BROOKLYN,
HEATING,HEAT,QUEENS,
GENERAL CONSTRUCTION,LOCKS,BROOKLYN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,STAIRS,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,CERAMIC-TILE,BROOKLYN,
HEATING,HEAT,MANHATTAN,
ELECTRIC,LIGHTING,BRONX,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
APPLIANCE,REFRIGERATOR,BRONX,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
ELECTRIC,LIGHTING,BROOKLYN,
GENERAL CONSTRUCTION,LOCKS,BROOKLYN,
ELECTRIC,LIGHTING,BROOKLYN,
ELECTRIC,LIGHTING,BROOKLYN,
ELECTRIC,LIGHTING,BROOKLYN,
HEATING,HEAT,BRONX,
HEATING,HEAT,BRONX,
HEATING,HEAT,MANHATTAN,
ELECTRIC,BELL-BUZZER/INTERCOM,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BRONX,
GENERAL CONSTRUCTION,WINDOWS,MANHATTAN,
GENERAL CONSTRUCTION,CERAMIC-TILE,BROOKLYN,
ELECTRIC,BELL-BUZZER/INTERCOM,BROOKLYN,
ELECTRIC,BELL-BUZZER/INTERCOM,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,STAIRS,BROOKLYN,
ELECTRIC,ELECTRIC-SUPPLY,BRONX,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
NONCONST,CARBON MONOXIDE,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,STAIRS,BROOKLYN,
NONCONST,CARBON MONOXIDE,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
PAINT - PLASTER,WALLS,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
ELECTRIC,ELECTRIC-SUPPLY,BROOKLYN,
HEATING,HEAT,BROOKLYN,
GENERAL CONSTRUCTION,CERAMIC-TILE,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BRONX,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
ELECTRIC,ELECTRIC-WIRING,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
ELECTRIC,BELL-BUZZER/INTERCOM,QUEENS,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,MANHATTAN,
ELECTRIC,ELECTRIC-WIRING,BROOKLYN,
HEATING,HEAT,MANHATTAN,
PLUMBING,WATER-LEAKS,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,CERAMIC-TILE,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BRONX,
GENERAL CONSTRUCTION,LOCKS,QUEENS,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
PLUMBING,TOILET,BRONX,
GENERAL CONSTRUCTION,CERAMIC-TILE,BROOKLYN,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,CERAMIC-TILE,BROOKLYN,
GENERAL CONSTRUCTION,CERAMIC-TILE,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
ELECTRIC,LIGHTING,BROOKLYN,
HEATING,HEAT,MANHATTAN,
NONCONST,CARBON MONOXIDE,QUEENS,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,QUEENS,
GENERAL CONSTRUCTION,MOLD,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,CERAMIC-TILE,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,WINDOWS,BRONX,
HEATING,HEAT,MANHATTAN,
PLUMBING,BASIN/SINK,BRONX,
HEATING,HEAT,MANHATTAN,
PAINT - PLASTER,CEILING,BRONX,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,FIRE-ESCAPE,QUEENS,
NONCONST,CARBON MONOXIDE,MANHATTAN,
NONCONST,CARBON MONOXIDE,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
ELECTRIC,ELECTRIC-SUPPLY,BROOKLYN,
NONCONST,CARBON MONOXIDE,BROOKLYN,
PLUMBING,RADIATOR,BROOKLYN,
GENERAL CONSTRUCTION,MOLD,BROOKLYN,
HEATING,HEAT,MANHATTAN,
NONCONST,CARBON MONOXIDE,QUEENS,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,QUEENS,
ELECTRIC,ELECTRIC-SUPPLY,BROOKLYN,
HEATING,HEAT,MANHATTAN,
NONCONST,JANITOR-SUPER,BROOKLYN,
NONCONST,JANITOR-SUPER,MANHATTAN,
NONCONST,JANITOR-SUPER,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,MOLD,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,BROOKLYN,
PLUMBING,BASIN/SINK,BRONX,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,BROOKLYN,
GENERAL CONSTRUCTION,WINDOWS,BRONX,
HEATING,HEAT,BROOKLYN,
PLUMBING,BATHTUB,MANHATTAN,
NONCONST,JANITOR-SUPER,BROOKLYN,
HEATING,HEAT,MANHATTAN,
PLUMBING,BASIN/SINK,MANHATTAN,
HEATING,HEAT,MANHATTAN,
PLUMBING,BATHTUB,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,MANHATTAN,
GENERAL CONSTRUCTION,GAS,BROOKLYN,
PLUMBING,SHOWER-STALL,MANHATTAN,
PAINT - PLASTER,CEILING,BRONX,
PAINT - PLASTER,CEILING,BRONX,
PLUMBING,BASIN/SINK,STATEN ISLAND,
HEATING,HEAT,MANHATTAN,
PLUMBING,BASIN/SINK,STATEN ISLAND,
PAINT - PLASTER,CEILING,BRONX,
PLUMBING,WATER-LEAKS,QUEENS,
HEATING,HEAT,MANHATTAN,
PLUMBING,BASIN/SINK,BRONX,
GENERAL CONSTRUCTION,GAS,BROOKLYN,
HEATING,HEAT,BROOKLYN,
GENERAL CONSTRUCTION,GAS,BROOKLYN,
HEATING,HEAT,BROOKLYN,
GENERAL CONSTRUCTION,GAS,BROOKLYN,
HEATING,HEAT,BRONX,
HEATING,HEAT,QUEENS,
GENERAL CONSTRUCTION,MAIL-BOX,BROOKLYN,
NONCONST,JANITOR-SUPER,BROOKLYN,
HEATING,HEAT,QUEENS,
HEATING,HEAT,BRONX,
HEATING,HEAT,QUEENS,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,QUEENS,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,MANHATTAN,
HEATING,HEAT,QUEENS,
PLUMBING,WATER-LEAKS,QUEENS,
HEATING,HEAT,BRONX,
NONCONST,JANITOR-SUPER,BROOKLYN,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
GENERAL CONSTRUCTION,MAIL-BOX,QUEENS,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
NONCONST,JANITOR-SUPER,BROOKLYN,
GENERAL CONSTRUCTION,STAIRS,MANHATTAN,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
PAINT - PLASTER,CEILING,BRONX,
GENERAL CONSTRUCTION,WINDOWS,BRONX,
PLUMBING,WATER-LEAKS,BRONX,
PAINT - PLASTER,WALLS,BROOKLYN,
HEATING,HEAT,BROOKLYN,
GENERAL CONSTRUCTION,WINDOWS,BROOKLYN,
HEATING,HEAT,BRONX,
HEATING,HEAT,QUEENS,
GENERAL CONSTRUCTION,FLOOR,QUEENS,
PLUMBING,RADIATOR,BROOKLYN,
GENERAL CONSTRUCTION,WINDOWS,BRONX,
HEATING,HEAT,BROOKLYN,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
ELECTRIC,ELECTRIC-WIRING,QUEENS,
GENERAL CONSTRUCTION,MOLD,MANHATTAN,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
HEATING,HEAT,QUEENS,
PLUMBING,WATER-LEAKS,BRONX,
PAINT - PLASTER,WALLS,BRONX,
GENERAL CONSTRUCTION,MOLD,MANHATTAN,
GENERAL CONSTRUCTION,FLOOR,BRONX,
PLUMBING,WATER-LEAKS,BRONX,
