Oklahoma City Thunder
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6,Tiago Splitter,28,81,58,24.7,3.9,7.0,.560,0.0,0.0,.000,2.6,3.5,.730,1.8,4.6,6.4,1.6,0.8,0.8,1.2,2.0,10.3
7,Gary Neal,28,68,17,21.8,3.6,8.8,.412,1.3,3.7,.355,0.9,1.1,.865,0.2,1.9,2.1,1.9,0.4,0.0,1.0,1.4,9.5
8,Stephen Jackson,34,55,6,19.5,2.2,6.0,.373,0.8,3.1,.271,0.9,1.3,.700,0.4,2.4,2.8,1.5,0.7,0.3,1.4,1.6,6.2
9,Boris Diaw,30,75,20,22.8,2.4,4.4,.539,0.4,1.0,.385,0.6,0.9,.723,0.9,2.5,3.4,2.4,0.7,0.4,1.1,1.9,5.8
10,DeJuan Blair,23,61,16,14.0,2.3,4.4,.524,0.0,0.0,.000,0.7,1.1,.629,1.1,2.7,3.8,0.7,0.6,0.2,0.8,1.8,5.4
Los Angeles Lakers
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,O-Kobe Bryant,34,78,78,38.6,9.5,20.4,.463,1.7,5.2,.324,6.7,8.0,.839,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2,27.3
2,Dwight Howard,27,76,76,35.8,6.2,10.7,.578,0.0,0.1,.167,4.7,9.5,.492,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,17.1
3,Pau Gasol,32,49,42,33.8,5.5,11.8,.466,0.2,0.6,.286,2.6,3.6,.702,2.3,6.3,8.6,4.1,0.5,1.2,2.1,1.9,13.7
4,D-Steve Nash,38,50,50,32.5,4.7,9.5,.497,1.1,2.6,.438,2.1,2.3,.922,0.5,2.3,2.8,6.7,0.6,0.1,2.5,1.4,12.7
5,Metta World Peace,33,75,66,33.7,4.4,11.0,.403,1.9,5.5,.342,1.7,2.3,.734,1.3,3.6,5.0,1.5,1.6,0.6,1.3,2.6,12.4
6,Antawn Jamison,36,76,6,21.5,3.5,7.6,.464,1.1,3.1,.361,1.2,1.8,.691,1.4,3.3,4.8,0.7,0.4,0.3,0.7,1.6,9.4
7,D-Jodie Meeks,25,78,10,21.3,2.6,6.8,.387,1.6,4.4,.357,1.1,1.2,.896,0.5,1.7,2.2,0.9,0.7,0.1,0.7,1.3,7.9
8,O-Steve Blake,32,45,13,26.1,2.5,6.0,.422,1.6,3.8,.421,0.6,0.8,.771,0.5,2.5,2.9,3.8,0.8,0.1,1.4,1.8,7.3
9,Earl Clark,25,59,36,23.1,2.9,6.5,.440,0.6,1.8,.337,0.9,1.3,.697,1.4,4.1,5.5,1.1,0.6,0.7,1.1,1.7,7.3
10,Jordan Hill,25,29,1,15.8,2.7,5.3,.497,0.0,0.1,.000,1.4,2.1,.656,2.8,2.9,5.7,0.4,0.3,0.7,0.9,1.9,6.7
Los Angeles Clippers
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Blake Griffin,23,80,80,32.5,7.2,13.4,.538,0.1,0.4,.179,3.5,5.3,.660,2.3,6.0,8.3,3.7,1.2,0.6,2.3,2.9,18.0
2,D-Chris Paul,27,70,70,33.4,5.9,12.2,.481,1.1,3.3,.328,4.1,4.6,.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9
3,Jamal Crawford,32,76,0,29.3,5.9,13.4,.438,2.0,5.2,.376,2.8,3.3,.871,0.3,1.4,1.7,2.5,1.0,0.2,1.9,0.9,16.5
4,Caron Butler,32,78,78,24.1,3.9,9.2,.424,1.6,4.2,.388,1.0,1.2,.833,0.5,2.3,2.9,1.0,0.7,0.1,0.9,1.8,10.4
5,Matt Barnes,32,80,4,25.7,3.9,8.4,.462,1.4,4.1,.342,1.1,1.5,.744,1.4,3.2,4.6,1.5,1.0,0.8,1.1,2.9,10.3
6,DeAndre Jordan,24,82,82,24.5,3.8,6.0,.643,0.0,0.0,,1.2,3.0,.386,2.6,4.7,7.2,0.3,0.6,1.4,1.2,2.3,8.8
7,Eric Bledsoe,23,76,12,20.4,3.3,7.5,.445,0.4,1.0,.397,1.4,1.8,.791,1.0,1.9,3.0,3.1,1.4,0.7,1.8,1.5,8.5
8,Chauncey Billups,36,22,22,19.0,2.4,6.0,.402,1.5,4.1,.367,2.0,2.2,.938,0.1,1.4,1.5,2.2,0.5,0.0,1.2,1.1,8.4
9,Willie Green,31,72,60,16.5,2.5,5.4,.461,1.0,2.3,.428,0.3,0.4,.719,0.2,1.1,1.3,0.8,0.4,0.2,0.4,1.3,6.3
10,Lamar Odom,33,82,2,19.7,1.8,4.5,.399,0.2,1.1,.200,0.2,0.5,.476,1.4,4.4,5.9,1.7,0.8,0.7,1.0,2.6,4.0
Memphis Grizzlies
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rudy Gay,26,42,42,36.7,6.7,16.4,.408,1.0,3.1,.310,2.9,3.7,.776,1.3,4.6,5.9,2.6,1.3,0.7,2.5,2.1,17.2
2,Zach Randolph,31,76,75,34.3,6.2,13.5,.460,0.0,0.3,.087,3.0,3.9,.750,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,15.4
3,Mike Conley,25,80,80,34.5,5.2,11.8,.440,1.3,3.7,.361,2.9,3.5,.830,0.5,2.3,2.8,6.1,2.2,0.3,2.4,2.1,14.6
4,Marc Gasol,28,80,80,35.0,5.4,10.9,.494,0.0,0.2,.071,3.4,4.0,.848,2.3,5.5,7.8,4.0,1.0,1.7,2.0,3.2,14.1
5,Tony Allen,31,79,79,26.7,3.6,8.1,.445,0.0,0.3,.125,1.7,2.4,.717,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9
6,Tayshaun Prince,32,37,36,31.7,3.9,9.1,.429,0.4,1.1,.366,0.6,1.0,.595,0.8,3.4,4.2,2.3,0.7,0.3,0.9,1.1,8.8
7,Jerryd Bayless,24,80,4,22.1,3.3,7.8,.419,0.9,2.5,.353,1.3,1.5,.836,0.3,1.9,2.2,3.3,0.7,0.2,1.5,2.1,8.7
8,Marreese Speights,25,40,2,14.5,2.7,6.2,.429,0.1,0.1,.400,1.2,1.7,.716,1.9,2.8,4.7,0.5,0.3,0.7,0.9,2.2,6.6
9,Quincy Pondexter,24,59,1,21.1,2.2,5.1,.428,1.0,2.6,.395,1.0,1.3,.787,0.7,1.5,2.2,1.0,0.6,0.1,0.7,1.6,6.4
10,Darrell Arthur,24,59,3,16.4,2.7,6.1,.451,0.1,0.3,.278,0.6,0.8,.717,1.2,1.7,2.9,0.6,0.4,0.6,0.7,2.1,6.1
Denver Nuggets
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ty Lawson,25,73,71,34.4,6.1,13.3,.461,1.2,3.2,.366,3.2,4.3,.756,0.5,2.2,2.7,6.9,1.5,0.1,2.5,1.8,16.7
2,O-Danilo Gallinari,24,71,71,32.5,5.1,12.3,.418,1.9,5.1,.373,4.0,4.9,.822,0.9,4.3,5.2,2.5,0.9,0.5,1.6,1.8,16.2
3,Wilson Chandler,25,43,8,25.1,4.9,10.6,.462,1.2,2.9,.413,2.0,2.6,.793,1.0,4.0,5.1,1.3,1.0,0.3,1.4,2.8,13.0
4,Andre Iguodala,29,80,80,34.7,5.0,11.0,.451,1.1,3.6,.317,1.9,3.4,.574,1.0,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13.0
5,Corey Brewer,26,82,2,24.4,4.6,10.8,.425,1.1,3.7,.296,1.8,2.6,.690,0.7,2.2,2.9,1.5,1.4,0.3,1.2,1.9,12.1
6,D-Kenneth Faried,23,80,80,28.1,4.8,8.6,.552,0.0,0.0,,2.0,3.3,.613,3.3,5.9,9.2,1.0,1.0,1.0,1.4,2.9,11.5
7,Andre Miller,36,82,11,26.2,3.7,7.7,.479,0.2,0.8,.266,2.0,2.4,.840,0.7,2.2,2.9,5.9,0.9,0.1,2.1,1.9,9.6
8,JaVale McGee,25,79,0,18.1,3.8,6.7,.575,0.0,0.0,1.000,1.4,2.4,.591,2.0,2.8,4.8,0.3,0.4,2.0,1.1,2.3,9.1
9,Kosta Koufos,23,81,81,22.4,3.6,6.3,.581,0.0,0.0,.000,0.7,1.3,.558,2.6,4.3,6.9,0.4,0.5,1.3,0.7,3.0,8.0
10,Evan Fournier,20,38,4,11.3,2.0,4.0,.493,0.6,1.4,.407,0.8,1.0,.769,0.2,0.8,0.9,1.2,0.5,0.0,0.8,1.7,5.3
Golden State Warriors
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,D-Stephen Curry,24,78,78,38.2,8.0,17.8,.451,3.5,7.7,.453,3.4,3.7,.900,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9
2,O-David Lee,29,79,79,36.8,7.6,14.7,.519,0.0,0.1,.000,3.2,4.1,.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,18.5
3,Klay Thompson,22,82,82,35.8,6.2,14.7,.422,2.6,6.4,.401,1.6,1.9,.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,16.6
4,Jarrett Jack,29,79,4,29.7,4.9,10.8,.452,1.0,2.6,.404,2.1,2.5,.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,12.9
5,Carl Landry,29,81,2,23.2,4.0,7.4,.540,0.0,0.0,.333,2.8,3.4,.817,2.2,3.7,6.0,0.8,0.4,0.4,1.4,2.3,10.8
6,Harrison Barnes,20,81,81,25.4,3.4,7.8,.439,0.6,1.8,.359,1.8,2.3,.758,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2
7,Brandon Rush,27,2,0,12.5,3.0,4.5,.667,0.0,1.0,.000,1.0,1.5,.667,0.0,0.5,0.5,1.0,0.0,0.0,1.5,2.5,7.0
8,Andrew Bogut,28,32,32,24.6,2.6,5.8,.451,0.0,0.0,1.000,0.6,1.2,.500,2.1,5.5,7.7,2.1,0.6,1.7,1.1,2.7,5.8
9,Richard Jefferson,32,56,1,10.1,1.1,2.4,.456,0.3,0.8,.311,0.7,0.9,.717,0.1,1.4,1.5,0.6,0.3,0.1,0.4,0.8,3.1
10,Draymond Green,22,79,1,13.4,1.1,3.3,.327,0.2,0.8,.209,0.6,0.7,.818,0.7,2.6,3.3,0.7,0.5,0.3,0.6,2.0,2.9
East
Miami Heat
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James,28,76,76,37.9,10.1,17.8,.565,1.4,3.3,.406,5.3,7.0,.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8
2,Dwyane Wade,31,69,69,34.7,8.2,15.8,.521,0.2,1.0,.258,4.5,6.2,.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2
3,Chris Bosh,28,74,74,33.2,6.6,12.3,.535,0.3,1.0,.284,3.3,4.1,.798,1.8,5.0,6.8,1.7,0.9,1.4,1.7,2.3,16.6
4,Ray Allen,37,79,0,25.8,3.7,8.2,.449,1.8,4.2,.419,1.8,2.0,.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9
5,Mario Chalmers,26,77,77,26.9,2.9,6.9,.429,1.6,3.9,.409,1.2,1.5,.795,0.2,2.0,2.2,3.5,1.5,0.2,1.5,2.5,8.6
6,Shane Battier,34,72,20,24.8,2.1,5.0,.420,1.9,4.4,.430,0.4,0.5,.842,0.5,1.8,2.3,1.0,0.6,0.8,0.5,2.1,6.6
7,Norris Cole,24,80,4,19.9,2.2,5.3,.421,0.4,1.2,.357,0.7,1.0,.650,0.2,1.4,1.6,2.1,0.7,0.1,1.3,1.9,5.6
8,Rashard Lewis,33,55,9,14.4,1.9,4.5,.414,0.9,2.4,.389,0.5,0.8,.622,0.3,1.9,2.2,0.5,0.4,0.3,0.6,1.2,5.2
9,Chris Andersen,34,42,0,14.9,1.7,2.9,.577,0.0,0.1,.667,1.5,2.2,.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9
10,Mike Miller,32,59,17,15.3,1.7,3.9,.433,1.2,3.0,.417,0.1,0.2,.727,0.3,2.4,2.7,1.7,0.4,0.1,0.6,1.1,4.8
Milwaukee Bucks
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Monta Ellis,27,82,82,37.5,7.3,17.5,.416,1.1,4.0,.287,3.5,4.6,.773,0.5,3.3,3.9,6.0,2.1,0.4,3.1,2.0,19.2
2,Brandon Jennings,23,80,80,36.2,6.2,15.6,.399,2.2,5.8,.375,2.9,3.5,.819,0.7,2.3,3.1,6.5,1.6,0.1,2.5,1.9,17.5
3,Ersan Ilyasova,25,73,54,27.6,5.1,11.0,.462,1.3,2.9,.444,1.7,2.2,.796,2.1,5.0,7.1,1.6,0.9,0.5,1.0,2.5,13.2
4,J.J. Redick,28,28,2,28.7,4.3,10.6,.403,1.7,5.4,.318,2.0,2.2,.918,0.3,1.6,1.9,2.7,0.3,0.1,1.2,1.7,12.3
5,Mike Dunleavy,32,75,3,25.9,3.7,8.3,.442,1.7,4.0,.428,1.4,1.7,.820,0.4,3.5,3.9,1.9,0.5,0.5,1.2,1.8,10.5
6,Larry Sanders,24,71,55,27.3,4.3,8.5,.506,0.0,0.0,.000,1.2,1.9,.618,3.2,6.3,9.5,1.2,0.7,2.8,1.2,3.3,9.8
7,Samuel Dalembert,31,47,23,16.3,2.9,5.4,.542,0.0,0.0,1.000,0.8,1.2,.691,2.2,3.6,5.9,0.4,0.4,1.1,1.1,1.9,6.7
8,T-Beno Udrih,30,39,0,18.4,2.9,6.1,.475,0.3,1.3,.265,0.6,0.8,.727,0.4,1.6,2.0,3.5,0.4,0.1,1.4,1.0,6.7
9,Luc Mbah a Moute,26,58,45,22.9,2.6,6.5,.401,0.2,0.6,.351,1.2,2.2,.571,1.5,2.9,4.4,0.9,0.7,0.2,1.2,1.4,6.7
10,John Henson,22,63,9,13.1,2.6,5.3,.482,0.0,0.0,.000,0.9,1.7,.533,1.8,2.9,4.7,0.5,0.3,0.7,0.7,1.3,6.0
New York Knicks
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Carmelo Anthony,28,67,67,37.0,10.0,22.2,.449,2.3,6.2,.379,6.3,7.6,.830,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7
2,J.R. Smith,27,80,0,33.5,6.6,15.6,.422,1.9,5.5,.356,3.0,3.9,.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,18.1
3,O-Amar'e Stoudemire,30,29,0,23.5,5.3,9.2,.577,0.0,0.0,,3.6,4.5,.808,2.1,2.9,5.0,0.4,0.3,0.7,1.7,3.1,14.2
4,Raymond Felton,28,68,68,34.0,5.5,13.0,.427,1.4,3.8,.360,1.5,1.9,.789,0.8,2.1,2.9,5.5,1.4,0.2,2.3,1.9,13.9
5,Earl Barron,31,1,1,37.0,5.0,14.0,.357,0.0,0.0,,1.0,2.0,.500,6.0,12.0,18.0,2.0,0.0,1.0,1.0,1.0,11.0
6,Tyson Chandler,30,66,66,32.8,3.9,6.1,.638,0.0,0.0,,2.7,3.9,.694,4.1,6.6,10.7,0.9,0.6,1.1,1.3,2.8,10.4
7,Chris Copeland,28,56,13,15.4,3.3,6.8,.479,1.1,2.5,.421,1.1,1.5,.759,0.6,1.5,2.1,0.5,0.3,0.2,0.9,1.9,8.7
8,Kenyon Martin,35,18,11,23.9,3.1,5.2,.602,0.0,0.0,,0.9,2.2,.425,1.9,3.4,5.3,0.4,0.9,0.9,0.9,3.6,7.2
9,Rasheed Wallace,38,21,0,14.1,2.6,6.8,.387,1.0,3.3,.319,0.7,1.0,.700,0.5,3.4,4.0,0.3,0.6,0.7,0.5,1.9,7.0
10,Iman Shumpert,22,45,45,22.1,2.4,6.1,.396,1.1,2.8,.402,0.8,1.0,.766,0.7,2.3,3.0,1.7,1.0,0.2,0.8,2.2,6.8
Boston Celtics
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul Pierce,35,77,77,33.4,6.2,14.2,.436,1.9,5.0,.380,4.3,5.5,.787,0.6,5.7,6.3,4.8,1.1,0.4,2.8,2.7,18.6
2,Kevin Garnett,36,68,68,29.7,6.2,12.5,.496,0.0,0.2,.125,2.3,3.0,.786,1.1,6.7,7.8,2.3,1.1,0.9,1.6,2.3,14.8
3,Rajon Rondo,26,38,38,37.4,5.9,12.2,.484,0.3,1.3,.240,1.6,2.4,.645,1.1,4.4,5.6,11.1,1.8,0.2,3.9,2.5,13.7
4,Jeff Green,26,81,17,27.8,4.6,10.0,.467,0.9,2.2,.385,2.6,3.3,.808,0.7,3.2,3.9,1.6,0.7,0.8,1.6,2.2,12.8
5,Jason Terry,35,79,24,26.9,3.6,8.2,.434,1.6,4.2,.372,1.4,1.7,.870,0.2,1.8,2.0,2.5,0.8,0.1,1.3,1.4,10.1
6,Avery Bradley,22,50,50,28.7,3.8,9.6,.402,0.8,2.5,.317,0.7,1.0,.755,0.6,1.6,2.2,2.1,1.3,0.4,1.4,2.6,9.2
7,Jordan Crawford,24,27,2,21.6,3.3,8.0,.415,0.9,2.8,.320,1.6,2.0,.792,0.5,2.3,2.7,2.5,0.4,0.1,1.6,1.7,9.1
8,Brandon Bass,27,81,69,27.6,3.5,7.3,.486,0.0,0.0,.000,1.6,1.9,.860,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,8.7
9,Courtney Lee,27,78,39,24.9,3.2,6.8,.464,0.7,2.0,.372,0.8,0.9,.861,0.4,2.0,2.4,1.8,1.1,0.3,1.1,1.8,7.8
10,Jared Sullinger,20,45,5,19.8,2.5,5.0,.493,0.0,0.1,.200,1.0,1.4,.746,2.0,3.8,5.9,0.8,0.5,0.5,0.6,3.4,6.0
Brooklyn Nets
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brook Lopez,24,74,74,30.4,7.7,14.8,.521,0.0,0.0,.000,4.0,5.3,.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,19.4
2,Deron Williams,28,78,78,36.4,6.3,14.4,.440,2.2,5.7,.378,4.1,4.7,.859,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5,18.9
3,Joe Johnson,31,72,72,36.7,6.2,14.6,.423,2.1,5.5,.375,1.8,2.2,.820,0.7,2.3,3.0,3.5,0.7,0.2,1.7,1.4,16.3
4,Andray Blatche,26,82,8,19.0,4.2,8.2,.512,0.0,0.3,.136,1.8,2.6,.685,2.0,3.1,5.1,1.0,1.0,0.7,1.5,2.0,10.3
5,Gerald Wallace,30,69,68,30.1,2.6,6.6,.397,0.7,2.4,.282,1.8,2.8,.637,1.0,3.6,4.6,2.6,1.4,0.7,1.6,1.7,7.7
6,C.J. Watson,28,80,8,19.0,2.4,5.7,.418,1.1,2.7,.411,0.9,1.1,.780,0.5,1.3,1.8,2.0,0.8,0.2,0.9,1.5,6.8
7,Kris Humphries,27,65,21,18.3,2.1,4.8,.448,0.0,0.0,.000,1.5,1.9,.789,1.9,3.7,5.6,0.5,0.2,0.5,0.9,2.0,5.8
8,MarShon Brooks,24,73,2,12.5,2.1,4.6,.463,0.2,0.8,.273,0.9,1.3,.734,0.4,1.0,1.4,1.0,0.5,0.2,0.9,1.3,5.4
9,Jerry Stackhouse,38,37,0,14.7,1.8,4.6,.384,0.8,2.4,.337,0.5,0.6,.870,0.1,0.8,0.9,0.9,0.2,0.1,0.6,0.8,4.9
10,Reggie Evans,32,80,56,24.6,1.6,3.3,.479,0.0,0.0,,1.4,2.8,.509,3.3,7.9,11.1,0.5,0.9,0.2,1.4,2.5,4.5
Chicago Bulls
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luol Deng,27,75,75,38.7,6.2,14.6,.426,1.0,3.1,.322,3.1,3.8,.816,2.2,4.2,6.3,3.0,1.1,0.4,1.9,1.4,16.5
2,Carlos Boozer,31,79,79,32.2,6.9,14.4,.477,0.0,0.0,.000,2.4,3.3,.731,2.2,7.5,9.8,2.3,0.8,0.4,2.2,3.0,16.2
3,Nate Robinson,28,82,23,25.4,4.9,11.2,.433,1.7,4.2,.405,1.6,2.1,.799,0.4,1.9,2.2,4.4,1.0,0.1,1.8,2.5,13.1
4,D-Joakim Noah,27,66,64,36.8,4.6,9.5,.481,0.0,0.1,.000,2.7,3.6,.751,3.9,7.2,11.1,4.0,1.2,2.1,2.7,2.8,11.9
5,Richard Hamilton,34,50,45,21.8,4.1,9.5,.429,0.3,1.0,.308,1.3,1.5,.857,0.3,1.3,1.7,2.4,0.5,0.1,1.7,1.9,9.8
6,Marco Belinelli,26,73,27,25.8,3.3,8.4,.395,1.1,3.0,.357,1.9,2.3,.839,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6
7,Jimmy Butler,23,82,20,26.0,2.9,6.2,.467,0.5,1.3,.381,2.3,2.8,.803,1.7,2.3,4.0,1.4,1.0,0.4,0.8,1.2,8.6
8,Taj Gibson,27,65,5,22.4,3.3,6.8,.485,0.0,0.1,.000,1.4,2.0,.679,1.9,3.4,5.3,0.9,0.4,1.4,1.2,2.6,8.0
9,Kirk Hinrich,32,60,60,29.4,2.7,7.0,.377,1.2,3.0,.390,1.2,1.6,.714,0.3,2.4,2.6,5.2,1.1,0.4,1.7,3.2,7.7
10,Nazr Mohammed,35,63,12,11.0,1.0,2.9,.367,0.0,0.0,.000,0.5,0.7,.723,1.2,1.9,3.1,0.4,0.3,0.5,0.4,1.5,2.6
Indiana Pacers
