#,Pokemon,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Total
107,Hitmonchan,50,105,79,35,110,76,455
108,Lickitung,90,55,75,60,75,30,385
109,Koffing,40,65,95,60,45,35,340
110,Weezing,65,90,120,85,70,60,490
111,Rhyhorn,80,85,95,30,30,25,345
112,Rhydon,105,130,120,45,45,40,485
113,Chansey,250,5,5,35,105,50,450
114,Tangela,65,55,115,100,40,60,435
115,Kangaskhan,105,95,80,40,80,90,490
116,Horsea,30,40,70,70,25,60,295
117,Seadra,55,65,95,95,45,85,440
118,Goldeen,45,67,60,35,50,63,320
119,Seaking,80,92,65,65,80,68,450
120,Staryu,30,45,55,70,55,85,340
121,Starmie,60,75,85,100,85,115,520
122,Mr.Mime,40,45,65,100,120,90,460
123,Scyther,70,110,80,55,80,105,500
124,Jynx,65,50,35,115,95,95,455
125,Electabuzz,65,83,57,95,85,105,490
126,Magmar,65,95,57,100,85,93,495
127,Pinsir,65,125,100,55,70,85,500
128,Tauros,75,100,95,40,70,110,490
129,Magikarp,20,10,55,15,20,80,200
130,Gyarados,95,125,79,60,100,81,540
131,Lapras,130,85,80,85,95,60,535
132,Ditto,48,48,48,48,48,48,288
133,Eevee,55,55,50,45,65,55,325
134,Vaporeon,130,65,60,110,95,65,525
135,Jolteon,65,65,60,110,95,130,525
136,Flareon,65,130,60,95,110,65,525
137,Porygon,65,60,70,85,75,40,395
138,Omanyte,35,40,100,90,55,35,355
139,Omastar,70,60,125,115,70,55,495
140,Kabuto,30,80,90,55,45,55,355
141,Kabutops,60,115,105,65,70,80,495
142,Aerodactyl,80,105,65,60,75,130,515
143,Snorlax,160,110,65,65,110,30,540
144,Articuno,90,85,100,95,125,85,580
145,Zapdos,90,90,85,125,90,100,580
146,Moltres,90,100,90,125,85,90,580
147,Dratini,41,64,45,50,50,50,300
148,Dragonair,61,84,65,70,70,70,420
149,Dragonite,91,134,95,100,100,80,600
150,Mewtwo,106,110,90,154,90,130,680
151,Mew,100,100,100,100,100,100,600
152,Chikorita,45,49,65,49,65,45,318
153,Bayleef,60,62,80,63,80,60,405
154,Meganium,80,82,100,83,100,80,525
155,Cyndaquil,39,52,43,60,50,65,309
156,Quilava,58,64,58,80,65,80,405
157,Typhlosion,78,84,78,109,85,100,534
158,Totodile,50,65,64,44,48,43,314
159,Croconaw,65,80,80,59,63,58,405
160,Feraligatr,85,105,100,79,83,78,530
161,Sentret,35,46,34,35,45,20,215
162,Furret,85,76,64,45,55,90,415
163,Hoothoot,60,30,30,36,56,50,262
164,Noctowl,100,50,50,76,96,70,442
165,Ledyba,40,20,30,40,80,55,265
166,Ledian,55,35,50,55,110,85,390
167,Spinarak,40,60,40,40,40,30,250
168,Ariados,70,90,70,60,60,40,390
169,Crobat,85,90,80,70,80,130,535
170,Chinchou,75,38,38,56,56,67,330
171,Lanturn,125,58,58,76,76,67,460
172,Pichu,20,40,15,35,35,60,205
173,Cleffa,50,25,28,45,55,15,218
174,Igglybuff,90,30,15,40,20,15,210
175,Togepi,35,20,65,40,65,20,245
176,Togetic,55,40,85,80,105,40,405
177,Natu,40,50,45,70,45,70,320
178,Xatu,65,75,70,95,70,95,470
179,Mareep,55,40,40,65,45,35,280
180,Flaaffy,70,55,55,80,60,45,365
181,Ampharos,90,75,75,115,90,55,500
182,Bellossom,75,80,85,90,100,50,480
183,Marill,70,20,50,20,50,40,250
184,Azumarill,100,50,80,50,80,50,410
185,Sudowoodo,70,100,115,30,65,30,410
186,Politoed,90,75,75,90,100,70,500
187,Hoppip,35,35,40,35,55,50,250
188,Skiploom,55,45,50,45,65,80,340
189,Jumpluff,75,55,70,55,85,110,450
190,Aipom,55,70,55,40,55,85,360
191,Sunkern,30,30,30,30,30,30,180
192,Sunflora,75,75,55,105,85,30,425
193,Yanma,65,65,45,75,45,95,390
194,Wooper,55,45,45,25,25,15,210
195,Quagsire,95,85,85,65,65,35,430
196,Espeon,65,65,60,130,95,110,525
197,Umbreon,95,65,110,60,130,65,525
198,Murkrow,60,85,42,85,42,91,405
199,Slowking,95,75,80,100,110,30,490
200,Misdreavus,60,60,60,85,85,85,435
201,Unown,48,72,48,72,48,48,336
202,Wobbuffet,190,33,58,33,58,33,405
203,Girafarig,70,80,65,90,65,85,455
204,Pineco,50,65,90,35,35,15,290
205,Forretress,75,90,140,60,60,40,465
206,Dunsparce,100,70,70,65,65,45,415
207,Gligar,65,75,105,35,65,85,430
208,Steelix,75,85,200,55,65,30,510
209,Snubbull,60,80,50,40,40,30,300
210,Granbull,90,120,75,60,60,45,450
211,Qwilfish,65,95,75,55,55,85,430
212,Scizor,70,130,100,55,80,65,500
213,Shuckle,20,10,230,10,230,5,505
214,Heracross,80,125,75,40,95,85,500
215,Sneasel,55,95,55,35,75,115,430
216,Teddiursa,60,80,50,50,50,40,330
217,Ursaring,90,130,75,75,75,55,500
218,Slugma,40,40,40,70,40,20,250
219,Magcargo,50,50,120,80,80,30,410
220,Swinub,50,50,40,30,30,50,250
221,Piloswine,100,100,80,60,60,50,450
222,Corsola,55,55,85,65,85,35,380
223,Remoraid,35,65,35,65,35,65,300
224,Octillery,75,105,75,105,75,45,480
225,Delibird,45,55,45,65,45,75,330
226,Mantine,65,40,70,80,140,70,465
227,Skarmory,65,80,140,40,70,70,465
228,Houndour,45,60,30,80,50,65,330
229,Houndoom,75,90,50,110,80,95,500
230,Kingdra,75,95,95,95,95,85,540
231,Phanpy,90,60,60,40,40,40,330
232,Donphan,90,120,120,60,60,50,500
233,Porygon2,85,80,90,105,95,60,515
234,Stantler,73,95,62,85,65,85,465
235,Smeargle,55,20,35,20,45,75,250
236,Tyrogue,35,35,35,35,35,35,210
237,Hitmontop,50,95,95,35,110,70,455
238,Smoochum,45,30,15,85,65,65,305
239,Elekid,45,63,37,65,55,95,360
240,Magby,45,75,37,70,55,83,365
241,Miltank,95,80,105,40,70,100,490
242,Blissey,255,10,10,75,135,55,540
243,Raikou,90,85,75,115,100,115,580
244,Entei,115,115,85,90,75,100,580
245,Suicune,100,75,115,90,115,85,580
246,Larvitar,50,64,50,45,50,41,300
247,Pupitar,70,84,70,65,70,51,410
248,Tyranitar,100,134,110,95,100,61,600
249,Lugia,106,90,130,90,154,110,680
250,Ho-Oh,106,130,90,110,154,90,680
251,Celebi,100,100,100,100,100,100,600
252,Treecko,40,45,35,65,55,70,310
253,Grovyle,50,65,45,85,65,95,405
254,Sceptile,70,85,65,105,85,120,530
255,Torchic,45,60,40,70,50,45,310
256,Combusken,60,85,60,85,60,55,405
257,Blaziken,80,120,70,110,70,80,530
258,Mudkip,50,70,50,50,50,40,310
259,Marshtomp,70,85,70,60,70,50,405
260,Swampert,100,110,90,85,90,60,535
261,Poochyena,35,55,35,30,30,35,220
262,Mightyena,70,90,70,60,60,70,420
263,Zigzagoon,38,30,41,30,41,60,240
264,Linoone,78,70,61,50,61,100,420
265,Wurmple,45,45,35,20,30,20,195
266,Silcoon,50,35,55,25,25,15,205
267,Beautifly,60,70,50,90,50,65,385
268,Cascoon,50,35,55,25,25,15,205
269,Dustox,60,50,70,50,90,65,385
270,Lotad,40,30,30,40,50,30,220
271,Lombre,60,50,50,60,70,50,340
272,Ludicolo,80,70,70,90,100,70,480
273,Seedot,40,40,50,30,30,30,220
274,Nuzleaf,70,70,40,60,40,60,340
275,Shiftry,90,100,60,90,60,80,480
276,Taillow,40,55,30,30,30,85,270
277,Swellow,60,85,60,50,50,125,430
278,Wingull,40,30,30,55,30,85,270
279,Pelipper,60,50,100,85,70,65,430
280,Ralts,28,25,25,45,35,40,198
281,Kirlia,38,35,35,65,55,50,278
282,Gardevoir,68,65,65,125,115,80,518
283,Surskit,40,30,32,50,52,65,269
284,Masquerain,70,60,62,80,82,60,414
285,Shroomish,60,40,60,40,60,35,295
286,Breloom,60,130,80,60,60,70,460
287,Slakoth,60,60,60,35,35,30,280
288,Vigoroth,80,80,80,55,55,90,440
289,Slaking,150,160,100,95,65,100,670
290,Nincada,31,45,90,30,30,40,266
291,Ninjask,61,90,45,50,50,160,456
292,Shedinja,1,90,45,30,30,40,236
293,Whismur,64,51,23,51,23,28,240
294,Loudred,84,71,43,71,43,48,360
295,Exploud,104,91,63,91,63,68,480
296,Makuhita,72,60,30,20,30,25,237
297,Hariyama,144,120,60,40,60,50,474
298,Azurill,50,20,40,20,40,20,190
299,Nosepass,30,45,135,45,90,30,375
300,Skitty,50,45,45,35,35,50,260
301,Delcatty,70,65,65,55,55,70,380
302,Sableye,50,75,75,65,65,50,380
303,Mawile,50,85,85,55,55,50,380
304,Aron,50,70,100,40,40,30,330
305,Lairon,60,90,140,50,50,40,430
306,Aggron,70,110,180,60,60,50,530
307,Meditite,30,40,55,40,55,60,280
308,Medicham,60,60,75,60,75,80,410
309,Electrike,40,45,40,65,40,65,295
310,Manectric,70,75,60,105,60,105,475
311,Plusle,60,50,40,85,75,95,405
312,Minun,60,40,50,75,85,95,405
313,Volbeat,65,73,55,47,75,85,400
314,Illumise,65,47,55,73,75,85,400
315,Roselia,50,60,45,100,80,65,400
316,Gulpin,70,43,53,43,53,40,302
317,Swalot,100,73,83,73,83,55,467
318,Carvanha,45,90,20,65,20,65,305
319,Sharpedo,70,120,40,95,40,95,460
320,Wailmer,130,70,35,70,35,60,400
321,Wailord,170,90,45,90,45,60,500
322,Numel,60,60,40,65,45,35,305
323,Camerupt,70,100,70,105,75,40,460
324,Torkoal,70,85,140,85,70,20,470
325,Spoink,60,25,35,70,80,60,330
326,Grumpig,80,45,65,90,110,80,470
327,Spinda,60,60,60,60,60,60,360
328,Trapinch,45,100,45,45,45,10,290
329,Vibrava,50,70,50,50,50,70,340
330,Flygon,80,100,80,80,80,100,520
331,Cacnea,50,85,40,85,40,35,335
332,Cacturne,70,115,60,115,60,55,475
333,Swablu,45,40,60,40,75,50,310
334,Altaria,75,70,90,70,105,80,490
335,Zangoose,73,115,60,60,60,90,458
336,Seviper,73,100,60,100,60,65,458
337,Lunatone,70,55,65,95,85,70,440
338,Solrock,70,95,85,55,65,70,440
339,Barboach,50,48,43,46,41,60,288
340,Whiscash,110,78,73,76,71,60,468
341,Corphish,43,80,65,50,35,35,308
342,Crawdaunt,63,120,85,90,55,55,468
343,Baltoy,40,40,55,40,70,55,300
344,Claydol,60,70,105,70,120,75,500
345,Lileep,66,41,77,61,87,23,355
346,Cradily,86,81,97,81,107,43,495
347,Anorith,45,95,50,40,50,75,355
348,Armaldo,75,125,100,70,80,45,495
349,Feebas,20,15,20,10,55,80,200
350,Milotic,95,60,79,100,125,81,540
351,Castform,70,70,70,70,70,70,420
352,Kecleon,60,90,70,60,120,40,440
353,Shuppet,44,75,35,63,33,45,295
354,Banette,64,115,65,83,63,65,455
355,Duskull,20,40,90,30,90,25,295
356,Dusclops,40,70,130,60,130,25,455
357,Tropius,99,68,83,72,87,51,460
358,Chimecho,65,50,70,95,80,65,425
359,Absol,65,130,60,75,60,75,465
360,Wynaut,95,23,48,23,48,23,260
361,Snorunt,50,50,50,50,50,50,300
362,Glalie,80,80,80,80,80,80,480
363,Spheal,70,40,50,55,50,25,290
364,Sealeo,90,60,70,75,70,45,410
365,Walrein,110,80,90,95,90,65,530
366,Clamperl,35,64,85,74,55,32,345
367,Huntail,55,104,105,94,75,52,485
368,Gorebyss,55,84,105,114,75,52,485
369,Relicanth,100,90,130,45,65,55,485
370,Luvdisc,43,30,55,40,65,97,330
371,Bagon,45,75,60,40,30,50,300
372,Shelgon,65,95,100,60,50,50,420
373,Salamence,95,135,80,110,80,100,600
374,Beldum,40,55,80,35,60,30,300
375,Metang,60,75,100,55,80,50,420
376,Metagross,80,135,130,95,90,70,600
377,Regirock,80,100,200,50,100,50,580
378,Regice,80,50,100,100,200,50,580
379,Registeel,80,75,150,75,150,50,580
380,Latias,80,80,90,110,130,110,600
381,Latios,80,90,80,130,110,110,600
382,Kyogre,100,100,90,150,140,90,670
383,Groudon,100,150,140,100,90,90,670
384,Rayquaza,105,150,90,150,90,95,680
385,Jirachi,100,100,100,100,100,100,600
386,Deoxys-(Normal_Forme),50,150,50,150,50,150,600
386,Deoxys-(Attack_Forme),50,180,20,180,20,150,600
386,Deoxys-(Defense_Forme),50,70,160,70,160,90,600
386,Deoxys-(Speed_Forme),50,95,90,95,90,180,600
387,Turtwig,55,68,64,45,55,31,318
388,Grotle,75,89,85,55,65,36,405
389,Torterra,95,109,105,75,85,56,525
390,Chimchar,44,58,44,58,44,61,309
391,Monferno,64,78,52,78,52,81,405
392,Infernape,76,104,71,104,71,108,534
393,Piplup,53,51,53,61,56,40,314
394,Prinplup,64,66,68,81,76,50,405
395,Empoleon,84,86,88,111,101,60,530
396,Starly,40,55,30,30,30,60,245
397,Staravia,55,75,50,40,40,80,340
398,Staraptor,85,120,70,50,50,100,475
399,Bidoof,59,45,40,35,40,31,250
400,Bibarel,79,85,60,55,60,71,410
401,Kricketot,37,25,41,25,41,25,194
402,Kricketune,77,85,51,55,51,65,384
403,Shinx,45,65,34,40,34,45,263
404,Luxio,60,85,49,60,49,60,363
405,Luxray,80,120,79,95,79,70,523
406,Budew,40,30,35,50,70,55,280
407,Roserade,60,70,55,125,105,90,505
408,Cranidos,67,125,40,30,30,58,350
409,Rampardos,97,165,60,65,50,58,495
410,Shieldon,30,42,118,42,88,30,350
411,Bastiodon,60,52,168,47,138,30,495
412,Burmy,40,29,45,29,45,36,224
413,Wormadam-(Plant_Cloak),60,59,85,79,105,36,424
413,Wormadam-(Sandy_Cloak),60,79,105,59,85,36,424
413,Wormadam-(Trash_Cloak),60,69,95,69,95,36,424
414,Mothim,70,94,50,94,50,66,424
415,Combee,30,30,42,30,42,70,244
416,Vespiquen,70,80,102,80,102,40,474
417,Pachirisu,60,45,70,45,90,95,405
418,Buizel,55,65,35,60,30,85,330
419,Floatzel,85,105,55,85,50,115,495
420,Cherubi,45,35,45,62,53,35,275
421,Cherrim,70,60,70,87,78,85,450
422,Shellos,76,48,48,57,62,34,325
423,Gastrodon,111,83,68,92,82,39,475
424,Ambipom,75,100,66,60,66,115,482
425,Drifloon,90,50,34,60,44,70,348
426,Drifblim,150,80,44,90,54,80,498
427,Buneary,55,66,44,44,56,85,350
428,Lopunny,65,76,84,54,96,105,480
429,Mismagius,60,60,60,105,105,105,495
430,Honchkrow,100,125,52,105,52,71,505
431,Glameow,49,55,42,42,37,85,310
432,Purugly,71,82,64,64,59,112,452
433,Chingling,45,30,50,65,50,45,285
434,Stunky,63,63,47,41,41,74,329
435,Skuntank,103,93,67,71,61,84,479
436,Bronzor,57,24,86,24,86,23,300
437,Bronzong,67,89,116,79,116,33,500
438,Bonsly,50,80,95,10,45,10,290
439,Mime,Jr.,20,25,45,70,90,60,310
440,Happiny,100,5,5,15,65,30,220
441,Chatot,76,65,45,92,42,91,411
442,Spiritomb,50,92,108,92,108,35,485
443,Gible,58,70,45,40,45,42,300
444,Gabite,68,90,65,50,55,82,410
445,Garchomp,108,130,95,80,85,102,600
446,Munchlax,135,85,40,40,85,5,390
447,Riolu,40,70,40,35,40,60,285
448,Lucario,70,110,70,115,70,90,525
449,Hippopotas,68,72,78,38,42,32,330
450,Hippowdon,108,112,118,68,72,47,525
451,Skorupi,40,50,90,30,55,65,330
452,Drapion,70,90,110,60,75,95,500
453,Croagunk,48,61,40,61,40,50,300
454,Toxicroak,83,106,65,86,65,85,490
455,Carnivine,74,100,72,90,72,46,454
456,Finneon,49,49,56,49,61,66,330
457,Lumineon,69,69,76,69,86,91,460
458,Mantyke,45,20,50,60,120,50,345
459,Snover,60,62,50,62,60,40,334
460,Abomasnow,90,92,75,92,85,60,494
461,Weavile,70,120,65,45,85,125,510
462,Magnezone,70,70,115,130,90,60,535
463,Lickilicky,110,85,95,80,95,50,515
464,Rhyperior,115,140,130,55,55,40,535
465,Tangrowth,100,100,125,110,50,50,535
466,Electivire,75,123,67,95,85,95,540
467,Magmortar,75,95,67,125,95,83,540
468,Togekiss,85,50,95,120,115,80,545
469,Yanmega,86,76,86,116,56,95,515
470,Leafeon,65,110,130,60,65,95,525
471,Glaceon,65,60,110,130,95,65,525
472,Gliscor,75,95,125,45,75,95,510
473,Mamoswine,110,130,80,70,60,80,530
474,Porygon-Z,85,80,70,135,75,90,535
475,Gallade,68,125,65,65,115,80,518
476,Probopass,60,55,145,75,150,40,525
477,Dusknoir,45,100,135,65,135,45,525
478,Froslass,70,80,70,80,70,110,480
479,Rotom-(Normal_Rotom),50,50,77,95,77,91,440
479,Rotom-(Heat_Rotom),50,65,107,105,107,86,520
479,Rotom-(Wash_Rotom),50,65,107,105,107,86,520
479,Rotom-(Frost_Rotom),50,65,107,105,107,86,520
479,Rotom-(Fan_Rotom),50,65,107,105,107,86,520
479,Rotom-(Mow_Rotom),50,65,107,105,107,86,520
480,Uxie,75,75,130,75,130,95,580
481,Mesprit,80,105,105,105,105,80,580
482,Azelf,75,125,70,125,70,115,580
483,Dialga,100,120,120,150,100,90,680
484,Palkia,90,120,100,150,120,100,680
485,Heatran,91,90,106,130,106,77,600
486,Regigigas,110,160,110,80,110,100,670
487,Giratina-(Altered_Forme),150,100,120,100,120,90,680
487,Giratina-(Origin_Forme),150,120,100,120,100,90,680
488,Cresselia,120,70,120,75,130,85,600
489,Phione,80,80,80,80,80,80,480
490,Manaphy,100,100,100,100,100,100,600
491,Darkrai,70,90,90,135,90,125,600
492,Shaymin-(Land_Forme),100,100,100,100,100,100,600
492,Shaymin-(Sky_Forme),100,103,75,120,75,127,600
493,Arceus,120,120,120,120,120,120,720
494,Victini,100,100,100,100,100,100,600
495,Snivy,45,45,55,45,55,63,308
496,Servine,60,60,75,60,75,83,413
497,Serperior,75,75,95,75,95,113,528
498,Tepig,65,63,45,45,45,45,308
499,Pignite,90,93,55,70,55,55,418
500,Emboar,110,123,65,100,65,65,528
501,Oshawott,55,55,45,63,45,45,308
502,Dewott,75,75,60,83,60,60,413
503,Samurott,95,100,85,108,70,70,528
504,Patrat,45,55,39,35,39,42,255
505,Watchog,60,85,69,60,69,77,420
506,Lillipup,45,60,45,25,45,55,275
507,Herdier,65,80,65,35,65,60,370
508,Stoutland,85,100,90,45,90,80,490
509,Purrloin,41,50,37,50,37,66,281
510,Liepard,64,88,50,88,50,106,446
511,Pansage,50,53,48,53,48,64,316
512,Simisage,75,98,63,98,63,101,498
513,Pansear,50,53,48,53,48,64,316
514,Simisear,75,98,63,98,63,101,498
515,Panpour,50,53,48,53,48,64,316
516,Simipour,75,98,63,98,63,101,498
517,Munna,76,25,45,67,55,24,292
518,Musharna,116,55,85,107,95,29,487
519,Pidove,50,55,50,36,30,43,264
520,Tranquill,62,77,62,50,42,65,358
521,Unfezant,80,105,80,65,55,93,478
522,Blitzle,45,60,32,50,32,76,295
523,Zebstrika,75,100,63,80,63,116,497
524,Roggenrola,55,75,85,25,25,15,280
525,Boldore,70,105,105,50,40,20,390
526,Gigalith,85,135,130,60,70,25,505
527,Woobat,55,45,43,55,43,72,313
528,Swoobat,67,57,55,77,55,114,425
529,Drilbur,60,85,40,30,45,68,328
530,Excadrill,110,135,60,50,65,88,508
531,Audino,103,60,86,60,86,50,445
532,Timburr,75,80,55,25,35,35,305
533,Gurdurr,85,105,85,40,50,40,405
534,Conkeldurr,105,140,95,55,65,45,505
535,Tympole,50,50,40,50,40,64,294
536,Palpitoad,75,65,55,65,55,69,384
537,Seismitoad,105,85,75,85,75,74,499
538,Throh,120,100,85,30,85,45,465
539,Sawk,75,125,75,30,75,85,465
540,Sewaddle,45,53,70,40,60,42,310
541,Swadloon,55,63,90,50,80,42,380
542,Leavanny,75,103,80,70,70,92,490
543,Venipede,30,45,59,30,39,57,260
544,Whirlipede,40,55,99,40,79,47,360
545,Scolipede,60,90,89,55,69,112,475
546,Cottonee,40,27,60,37,50,66,280
547,Whimsicott,60,67,85,77,75,116,480
548,Petilil,45,35,50,70,50,30,280
549,Lilligant,70,60,75,110,75,90,480
550,Basculin,70,92,65,80,55,98,460
551,Sandile,50,72,35,35,35,65,292
552,Krokorok,60,82,45,45,45,74,351
553,Krookodile,95,117,70,65,70,92,509
554,Darumaka,70,90,45,15,45,50,315
555,Darmanitan-(Standard_Mode),105,140,55,30,55,95,480
555,Darmanitan-(Zen_Mode),105,30,105,140,105,55,540
556,Maractus,75,86,67,106,67,60,461
557,Dwebble,50,65,85,35,35,55,325
558,Crustle,70,95,125,65,75,45,475
559,Scraggy,50,75,70,35,70,48,348
560,Scrafty,65,90,115,45,115,58,488
561,Sigilyph,72,58,80,103,80,97,490
562,Yamask,38,30,85,55,65,30,303
563,Cofagrigus,58,50,145,95,105,30,483
564,Tirtouga,54,78,103,53,45,22,355
565,Carracosta,74,108,133,83,65,32,495
566,Archen,55,112,45,74,45,70,401
567,Archeops,75,140,65,112,65,110,567
568,Trubbish,50,50,62,40,62,65,329
569,Garbodor,80,95,82,60,82,75,474
570,Zorua,40,65,40,80,40,65,330
571,Zoroark,60,105,60,120,60,105,510
572,Minccino,55,50,40,40,40,75,300
573,Cinccino,75,95,60,65,60,115,470
574,Gothita,45,30,50,55,65,45,290
575,Gothorita,60,45,70,75,85,55,390
576,Gothitelle,70,55,95,95,110,65,490
577,Solosis,45,30,40,105,50,20,290
578,Duosion,65,40,50,125,60,30,370
579,Reuniclus,110,65,75,125,85,30,490
580,Ducklett,62,44,50,44,50,55,305
581,Swanna,75,87,63,87,63,98,473
582,Vanillite,36,50,50,65,60,44,305
583,Vanillish,51,65,65,80,75,59,395
584,Vanilluxe,71,95,85,110,95,79,535
585,Deerling,60,60,50,40,50,75,335
586,Sawsbuck,80,100,70,60,70,95,475
587,Emolga,55,75,60,75,60,103,428
588,Karrablast,50,75,45,40,45,60,315
589,Escavalier,70,135,105,60,105,20,495
590,Foongus,69,55,45,55,55,15,294
591,Amoonguss,114,85,70,85,80,30,464
592,Frillish,55,40,50,65,85,40,335
593,Jellicent,100,60,70,85,105,60,480
594,Alomomola,165,75,80,40,45,65,470
595,Joltik,50,47,50,57,50,65,319
596,Galvantula,70,77,60,97,60,108,472
597,Ferroseed,44,50,91,24,86,10,305
598,Ferrothorn,74,94,131,54,116,20,489
599,Klink,40,55,70,45,60,30,300
600,Klang,60,80,95,70,85,50,440
601,Klinklang,60,100,115,70,85,90,520
602,Tynamo,35,55,40,45,40,60,275
603,Eelektrik,65,85,70,75,70,40,405
604,Eelektross,85,115,80,105,80,50,515
605,Elgyem,55,55,55,85,55,30,335
606,Beheeyem,75,75,75,125,95,40,485
607,Litwick,50,30,55,65,55,20,275
608,Lampent,60,40,60,95,60,55,370
609,Chandelure,60,55,90,145,90,80,520
610,Axew,46,87,60,30,40,57,320
611,Fraxure,66,117,70,40,50,67,410
612,Haxorus,76,147,90,60,70,97,540
613,Cubchoo,55,70,40,60,40,40,305
614,Beartic,95,110,80,70,80,50,485
615,Cryogonal,70,50,30,95,135,105,485
616,Shelmet,50,40,85,40,65,25,305
617,Accelgor,80,70,40,100,60,145,495
618,Stunfisk,109,66,84,81,99,32,471
619,Mienfoo,45,85,50,55,50,65,350
620,Mienshao,65,125,60,95,60,105,510
